,Year,Month,temp,Nombre,population,co2_including_luc,cumulative_co2_including_luc
463,1981,7.0,0.32,15.0,4524627456.0,23427.91,1160825.125
464,1982,7.0,0.15,8.0,4607984640.0,23293.379,1184118.5
465,1983,7.0,0.18,20.0,4691884032.0,23811.387,1207929.875
466,1984,7.0,0.19,13.0,4775836160.0,24970.838,1232900.75
467,1985,7.0,0.04,10.0,4861730816.0,25405.865,1258306.5
468,1986,7.0,0.11,16.0,4950063104.0,25744.014,1284050.625
469,1987,7.0,0.4,25.0,5040984576.0,26386.771,1310437.375
470,1988,7.0,0.33,17.0,5132294144.0,27166.314,1337603.625
471,1989,7.0,0.34,16.0,5223704064.0,27279.248,1364882.875
472,1990,7.0,0.45,21.0,5316175872.0,27634.754,1392517.75
473,1991,7.0,0.47,28.0,5406245888.0,28002.021,1420519.625
474,1992,7.0,0.08,24.0,5492686336.0,27470.73,1447990.375
475,1993,7.0,0.25,24.0,5577433600.0,27689.318,1475679.75
476,1994,7.0,0.3,35.0,5660727808.0,28265.32,1503945.0
477,1995,7.0,0.45,31.0,5743219712.0,28746.965,1532692.0
478,1996,7.0,0.36,35.0,5825145344.0,29444.461,1562136.5
479,1997,7.0,0.34,32.0,5906481152.0,31407.445,1593544.0
480,1998,7.0,0.66,26.0,5987312640.0,29699.977,1623243.875
481,1999,7.0,0.38,28.0,6067758592.0,30221.426,1653465.375
482,2000,7.0,0.39,52.0,6148898816.0,30569.545,1684035.0
483,2001,7.0,0.59,49.0,6230747136.0,30407.066,1714442.0
484,2002,7.0,0.61,45.0,6312407552.0,31458.27,1745900.25
485,2003,7.0,0.58,48.0,6393898496.0,33304.418,1779204.625
486,2004,7.0,0.26,46.0,6475751424.0,33998.957,1813203.625
487,2005,7.0,0.61,46.0,6558176256.0,34331.27,1847534.75
488,2006,7.0,0.54,59.0,6641416192.0,35666.414,1883201.375
489,2007,7.0,0.59,59.0,6725948416.0,35943.77,1919145.125
490,2008,7.0,0.6,37.0,6811597312.0,36728.855,1955874.0
491,2009,7.0,0.73,48.0,6898306048.0,36597.754,1992471.625
492,2010,7.0,0.63,43.0,6985603072.0,38202.047,2030673.75
493,2011,7.0,0.7,35.0,7073125376.0,39451.125,2070124.875
494,2012,7.0,0.58,25.0,7161697792.0,39833.223,2109958.0
495,2013,7.0,0.6,26.0,7250593280.0,39947.32,2149905.25
496,2014,7.0,0.58,27.0,7339013632.0,40495.234,2190400.75
497,2015,7.0,0.73,44.0,7426597376.0,40944.281,2231344.75
498,2016,7.0,0.84,28.0,7513474048.0,40052.039,2271397.0
499,2017,7.0,0.81,36.0,7599822336.0,40428.684,2311825.75
500,2018,7.0,0.82,40.0,7683789824.0,41007.867,2352833.5
501,2019,7.0,0.94,42.0,7764951040.0,41639.84,2394473.25
502,2020,7.0,0.89,22.0,7840952832.0,39321.844,2433795.25
503,2021,7.0,0.92,65.0,7909295104.0,41062.895,2474858.0
504,1950,8.0,-0.16,4.0,2499322112.0,11428.435,607670.188
505,1951,8.0,0.06,7.0,2543130368.0,11978.877,619649.062
506,1952,8.0,0.05,4.0,2590270976.0,12190.116,631839.125
507,1953,8.0,0.05,4.0,2640278784.0,12479.874,644319.0
508,1954,8.0,-0.18,6.0,2691979264.0,12793.677,657112.688
509,1955,8.0,0.02,2.0,2746072064.0,13628.81,670741.5
510,1956,8.0,-0.26,6.0,2801002752.0,14315.245,685056.812
511,1957,8.0,0.15,2.0,2857866752.0,14768.167,699824.938
512,1958,8.0,-0.05,2.0,2916108032.0,15192.604,715017.562
513,1959,8.0,-0.01,8.0,2970292224.0,15960.473,730978.0
514,1960,8.0,0.02,4.0,3019233536.0,15955.755,746933.75
